task_description,api_count,task_lower,soc_code,task_id,occupation_title
"manage client portfolios, keeping client plans up-to-date.",234.0,"manage client portfolios, keeping client plans up-to-date.",13-2052.00,20184.0,Personal Financial Advisors
manage investment funds to maximize return on client investments.,56.0,manage investment funds to maximize return on client investments.,11-3031.03,15678.0,Investment Fund Managers
manage leasing of facility space.,31.0,manage leasing of facility space.,11-3013.00,21275.0,Facilities Managers
"manage or operate real estate offices, handling associated business details.",48.0,"manage or operate real estate offices, handling associated business details.",41-9021.00,4610.0,Real Estate Brokers
"manage project execution to ensure adherence to budget, schedule, and scope.",25.0,"manage project execution to ensure adherence to budget, schedule, and scope.",15-1299.09,16169.0,Information Technology Project Managers
"manage security programs designed to protect personnel, facilities, and information.",79.0,"manage security programs designed to protect personnel, facilities, and information.",,,
manage timely flow of business intelligence information to users.,40.0,manage timely flow of business intelligence information to users.,15-2051.01,16140.0,Business Intelligence Analysts
manage user access to systems and equipment through account management and password administration.,1252.0,manage user access to systems and equipment through account management and password administration.,15-1241.01,16070.0,Telecommunications Engineering Specialists
manage warranty repair or replacement services.,23.0,manage warranty repair or replacement services.,11-9199.09,15811.0,Wind Energy Operations Managers
"manipulate and enhance scanned or digital images to create desired effects, using computers and specialized software.",1363.0,"manipulate and enhance scanned or digital images to create desired effects, using computers and specialized software.",27-4021.00,9352.0,Photographers
"manipulate plot, score, sound, and graphics to make the parts into a continuous whole, working closely with people in audio, visual, music, optical, or special effects departments.",24.0,"manipulate plot, score, sound, and graphics to make the parts into a continuous whole, working closely with people in audio, visual, music, optical, or special effects departments.",27-4032.00,4064.0,Film and Video Editors
"map data between source systems, data warehouses, and data marts.",313.0,"map data between source systems, data warehouses, and data marts.",15-1243.01,16124.0,Data Warehousing Specialists
"mark copy to indicate and correct errors in type, arrangement, grammar, punctuation, or spelling, using standard printers' marks.",140.0,"mark copy to indicate and correct errors in type, arrangement, grammar, punctuation, or spelling, using standard printers' marks.",43-9081.00,5159.0,Proofreaders and Copy Markers
"mark up, paste, and complete layouts and write typography instructions to prepare materials for typesetting or printing.",33.0,"mark up, paste, and complete layouts and write typography instructions to prepare materials for typesetting or printing.",27-1011.00,295.0,Art Directors
"market bank products to individuals and firms, promoting bank services that may meet customers' needs.",48.0,"market bank products to individuals and firms, promoting bank services that may meet customers' needs.",13-2072.00,3421.0,Loan Officers
