anthropic_task_description,api_usage_count,onet_soc_code,onet_task_id,onet_task_description,onet_task_type,onet_occupation_title,onet_occupation_description,match_method,match_score,Job Zone,typical_education,typical_education_pct,task_importance,task_relevance,dwa_ids,dwa_titles,iwa_ids,nonroutine_cognitive_analytical,nonroutine_cognitive_interpersonal,nonroutine_manual,nonroutine_total
"complete models and simulations, using manual or automated tools, to analyze or predict system performance under different operating conditions.",312.0,15-1299.08,14688.0,"Complete models and simulations, using manual or automated tools, to analyze or predict system performance under different operating conditions.",Core,Computer Systems Engineers/Architects,"Design and develop solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions.",exact,100.0,3,3.0,40.91,3.25,90.91,4.A.2.b.2.I02.D03; 4.A.2.b.2.I21.D02,Design computer modeling or simulation programs.; Develop models of information or communications systems.,4.A.2.b.2.I02; 4.A.2.b.2.I21,0.6134969325153374,0.4482758620689655,0.38120104438642294,0.5215877437325906
"develop teaching materials, such as syllabi, visual aids, answer keys, supplementary notes, or course web sites.",312.0,25-9044.00,10967.0,"Develop teaching materials, such as syllabi, visual aids, answer keys, supplementary notes, or course Web sites.",Core,"Teaching Assistants, Postsecondary","Assist faculty or other instructional staff in postsecondary institutions by performing instructional support activities, such as developing teaching materials, leading discussion groups, preparing and giving examinations, and grading examinations or papers.",exact,100.0,5,6.0,57.32,4.18,90.19,4.A.3.b.6.I12.D03; 4.A.3.b.6.I12.D09,Create technology-based learning materials.; Develop instructional materials.,4.A.3.b.6.I12,0.5659509202453986,0.5467980295566504,0.195822454308094,0.44289693593314755
"review instructional content, methods, and student evaluations to assess strengths and weaknesses, and to develop recommendations for course revision, development, or elimination.",311.0,25-3011.00,6844.0,"Review instructional content, methods, and student evaluations to assess strengths and weaknesses, and to develop recommendations for course revision, development, or elimination.",Core,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Teach or instruct out-of-school youths and adults in basic education, literacy, or English as a Second Language classes, or in classes for earning a high school equivalency credential.",exact,100.0,4,6.0,40.84,3.55,86.83,4.A.2.a.1.I02.D05,Evaluate effectiveness of educational programs.,4.A.2.a.1.I02,0.5812883435582823,0.4220032840722496,0.20887728459530028,0.4038997214484682
"perform or evaluate research, such as detailed company or industry analyses, to inform financial forecasting, decision making, or valuation.",310.0,11-3031.03,15667.0,"Perform or evaluate research, such as detailed company or industry analyses, to inform financial forecasting, decision making, or valuation.",Core,Investment Fund Managers,"Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors.",exact,100.0,5,8.0,63.33,4.38,89.62,4.A.2.a.4.I07.D08,Analyze forecasting data to improve business decisions.,4.A.2.a.4.I07,0.8128834355828223,0.5008210180623974,0.05483028720626631,0.4603064066852369
establish and maintain relationships with individual or business customers or provide assistance with problems these customers may encounter.,310.0,11-3031.00,21311.0,Establish and maintain relationships with individual or business customers or provide assistance with problems these customers may encounter.,Core,Financial Managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",exact,100.0,4,6.0,56.31,4.3,83.85,4.A.4.a.4.I01.D04,Establish interpersonal business relationships to facilitate work activities.,4.A.4.a.4.I01,0.5889570552147239,0.8128078817733989,0.19321148825065274,0.5647632311977715
"review files, records, and other documents to obtain information to respond to requests.",308.0,43-9061.00,834.0,"Review files, records, and other documents to obtain information to respond to requests.",Core,"Office Clerks, General","Perform duties too varied and diverse to be classified in any specific office clerical occupation, requiring knowledge of office systems and procedures. Clerical duties may be assigned in accordance with the office procedures of individual establishments and may include a combination of answering telephones, bookkeeping, typing or word processing, office machine operation, and filing.",exact,100.0,2,2.0,40.59,3.91,89.21,4.A.1.a.1.I04.D07,"Search files, databases or reference materials to obtain needed information.",4.A.1.a.1.I04,0.3527607361963191,0.33825944170771755,0.27154046997389036,0.2980501392757661
"ask questions in accordance with instructions to obtain various specified information, such as person's name, address, age, religious preference, or state of residency.",308.0,43-4111.00,2627.0,"Ask questions in accordance with instructions to obtain various specified information, such as person's name, address, age, religious preference, or state of residency.",Core,"Interviewers, Except Eligibility and Loan","Interview persons by telephone, mail, in person, or by other means for the purpose of completing forms, applications, or questionnaires. Ask specific questions, record answers, and assist persons with completing form. May sort, classify, and file forms.",exact,100.0,3,2.0,42.42,4.57,95.02,4.A.1.a.1.I23.D01,"Interview employees, customers, or others to collect information.",4.A.1.a.1.I23,0.6426380368098159,0.6945812807881774,0.227154046997389,0.5571030640668523
evaluate or recommend software for testing or bug tracking.,305.0,15-1253.00,14663.0,Evaluate or recommend software for testing or bug tracking.,Core,Software Quality Assurance Analysts and Testers,"Develop and execute software tests to identify software problems and their causes. Test system modifications to prepare for implementation. Document software and application defects using a bug tracking system and report defects to software or web developers. Create and maintain databases of known defects. May participate in software design reviews to provide input on functional requirements, operational characteristics, product designs, and schedules.",exact,100.0,4,6.0,50.0,3.25,94.12,4.A.2.a.1.I07.D08; 4.A.4.b.6.I04.D06,Evaluate utility of software or hardware technologies.; Recommend changes to improve computer or information systems.,4.A.2.a.1.I07; 4.A.4.b.6.I04,0.7561349693251533,0.5632183908045978,0.1592689295039164,0.5167130919220057
"review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",305.0,11-1021.00,20699.0,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",Core,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",exact,100.0,4,2.0,28.76,4.18,97.14,4.A.2.a.4.I07.D12; 4.A.2.a.4.I11.D07,Analyze data to inform operational decisions or activities.; Analyze financial records to improve efficiency.,4.A.2.a.4.I07; 4.A.2.a.4.I11,0.6993865030674847,0.8259441707717572,0.26892950391644904,0.6608635097493037
study scripts to become familiar with production concepts and requirements.,302.0,27-4032.00,4051.0,Study scripts to become familiar with production concepts and requirements.,Core,Film and Video Editors,"Edit moving images on film, video, or other media. May work with a producer or director to organize images for final production. May edit or synchronize soundtracks with images.",exact,100.0,4,6.0,65.1,3.96,80.64,4.A.1.a.1.I01.D04,Study scripts to determine project requirements.,4.A.1.a.1.I01,0.7868098159509204,0.561576354679803,0.3890339425587467,0.6525069637883009
